POSTED_BY_Builder,POSTED_BY_Dealer,POSTED_BY_Owner,BHK_OR_RK_BHK,BHK_OR_RK_RK,UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),BHK_NO
0,1,0,1,0,0,0,3,1862.562189,1,1,28.431862,77.351104,59.9,3
0,0,1,1,0,0,0,2,950.0146156,1,1,19.88879,75.34344,65.0,2
0,0,1,1,0,0,1,4,5200.945626,1,1,28.567633,77.383124,110.0,4
0,1,0,1,0,0,0,2,1049.969344,1,1,12.985039,77.54383,68.5,2
0,1,0,1,0,0,0,3,1615.008157,1,1,22.589694,88.372957,99.0,3
0,1,0,1,0,0,0,3,1150.0069,1,1,19.014858,72.8662,250.0,3
0,0,1,1,0,0,0,2,1100.0,1,1,26.955346,75.73479300000002,27.5,2
0,1,0,1,0,1,1,2,906.2661833,0,0,24.69028,78.41889,70.0,2
0,0,1,1,0,0,0,3,1454.333915,1,1,10.77,76.38,50.0,3
0,0,1,1,0,0,0,3,1591.994542,1,1,28.506454,77.40956800000002,70.0,3
0,1,0,1,0,0,1,2,573.8769151,1,1,28.406388,77.342588,22.1,2
0,1,0,1,0,0,1,3,1038.883942,1,1,19.12,72.91,280.0,3
0,0,1,1,0,0,0,3,1538.141758,1,1,13.11389,77.59833,74.0,3
0,0,1,1,0,0,0,2,5000.0,1,1,26.850391,75.814198,85.0,2
0,1,0,1,0,0,0,3,1602.084012,1,1,28.368269,77.37273,49.2,3
0,0,1,1,0,0,0,2,1200.0,1,1,16.51667,80.61667,45.0,2
0,0,1,1,0,0,0,2,760.0709400000002,1,1,15.86667,74.5,60.0,2
0,0,1,1,0,1,0,2,739.8273736000001,0,1,23.25,77.41667,30.0,2
0,0,1,1,0,0,0,2,1260.02291,1,1,13.0915,74.7844,33.0,2
0,0,1,1,0,0,0,2,1100.151745,1,1,21.093676,79.111965,29.0,2
0,1,0,1,0,0,1,3,2293.077091,1,1,18.5438,73.9438,210.0,3
0,1,0,1,0,0,0,2,1146.480331,1,1,19.216097,72.821721,88.6,2
0,1,0,1,0,0,1,4,2224.059764,1,1,19.1615,72.8731,780.0,4
0,1,0,1,0,0,0,2,759.8784195000002,1,1,22.452032,88.298947,30.0,2
0,0,1,1,0,0,0,4,2260.251857,1,1,12.9506,77.5952,140.0,4
0,1,0,1,0,0,0,3,767.0182167,1,1,20.742166,80.104602,240.0,3
0,0,1,1,0,0,0,4,2500.0,1,1,28.66667,77.41667,160.0,4
0,1,0,1,0,1,1,4,2286.236854,0,1,21.0,77.0,100.0,4
0,0,1,1,0,0,1,2,1150.086256,1,1,28.577673,77.389781,60.0,2
0,1,0,1,0,0,1,2,1004.932182,1,1,18.966114,73.148278,81.5,2
0,0,1,1,0,0,0,2,800.0,1,1,22.56972,88.36972,34.0,2
0,1,0,1,0,1,0,3,993.75,0,1,26.706157,88.439748,31.8,3
0,1,0,1,0,0,0,2,1298.139334,1,1,23.169982,77.477889,30.0,2
0,1,0,1,0,0,1,2,996.797438,1,1,26.900926,75.775927,24.9,2
0,0,1,1,0,0,0,2,985.0194952,1,1,12.98556,77.66389000000002,48.0,2
0,1,0,1,0,0,0,3,1118.75,1,1,12.91716,80.19287,53.7,3
0,1,0,1,0,0,1,2,889.8305085000002,1,1,28.506454,77.40956800000002,42.0,2
0,0,1,1,0,0,0,3,2738.22563,1,1,12.863421,77.652405,150.0,3
0,1,0,1,0,1,1,4,1725.4901960000002,0,0,19.049513,72.91920400000002,440.0,4
0,1,0,1,0,1,1,3,2488.004265,0,1,30.654128000000004,76.732427,140.0,3
0,1,0,1,0,0,0,3,1200.082764,1,1,23.207157,88.404471,58.0,3
0,1,0,1,0,0,0,2,1584.283904,1,1,26.459137,79.506922,100.0,2
0,0,1,1,0,0,0,2,900.0,1,1,23.2257,72.51679,18.0,2
0,1,0,1,0,0,1,2,1193.440032,1,1,18.441256,74.647361,60.4,2
0,0,1,1,0,0,0,2,1487.357462,1,1,26.8626,75.7633,30.0,2
0,0,1,1,0,1,1,2,989.9029895,0,1,28.5035,77.426447,50.0,2
0,1,0,1,0,0,0,2,1155.020213,1,1,19.147866,72.932609,140.0,2
0,0,1,1,0,0,0,2,949.893137,1,1,11.93,79.83,80.0,2
0,0,1,1,0,0,0,2,875.0,1,1,28.560719,77.386208,49.0,2
0,1,0,1,0,0,0,2,853.3611982000001,1,1,12.96991,77.59796,24.5,2
0,0,1,1,0,0,0,1,483.0917874,1,1,18.4543,73.1147,18.0,1
0,1,0,1,0,0,0,2,800.0,1,1,19.18,72.96333,95.0,2
0,0,1,1,0,0,0,2,802.0415602999999,1,1,28.66667,77.41667,22.0,2
0,1,0,1,0,0,1,2,610.0660905,1,1,13.069866,80.19842299999998,48.0,2
0,0,1,1,0,0,0,3,1680.107527,1,1,28.861993,78.756315,75.0,3
0,0,1,1,0,0,0,2,1150.136038,1,1,19.980678,79.297436,93.0,2
0,0,1,1,0,0,0,3,1550.114497,1,1,28.576117,77.382136,88.0,3
0,0,1,1,0,0,0,5,1699.834163,1,1,28.6711,77.3683,82.0,5
0,0,1,1,0,1,0,3,1600.170685,0,1,9.952439,76.36329649999998,75.0,3
0,0,1,1,0,0,0,1,600.0566091,1,1,18.75,73.08,21.2,1
0,1,0,1,0,0,1,2,1429.200617,1,1,30.661104,76.746082,64.9,2
0,0,1,1,0,0,0,2,1115.1379980000004,1,1,13.008071,77.65129499999998,80.0,2
0,1,0,1,0,0,0,4,2750.929368,1,1,27.216013,77.950834,74.0,4
0,0,1,1,0,0,0,3,1811.196487,1,1,23.35556,85.33471999999998,99.0,3
0,0,1,1,0,0,0,2,1045.036079,1,1,22.43917,88.39583,42.0,2
0,1,0,1,0,0,0,3,3433.996566,1,1,28.403138,77.070052,340.0,3
0,0,1,1,0,0,0,3,1298.219585,1,1,12.840956,77.659441,70.0,3
0,0,1,1,0,1,1,2,1109.165207,0,1,13.278237,74.747328,38.0,2
0,1,0,1,0,1,1,4,1304.034182,0,0,18.96,72.82,470.0,4
0,1,0,1,0,0,1,2,1041.195111,1,1,28.59632,77.38143000000002,46.0,2
0,1,0,1,0,0,0,3,2135.748916,1,1,28.394375,77.35722700000002,83.7,3
0,0,1,1,0,0,1,3,1850.180505,1,1,28.579004,77.431173,82.0,3
0,1,0,1,0,0,0,3,1665.080875,1,1,23.166495,72.63429000000002,70.0,3
0,0,1,1,0,0,1,2,398.2621289,1,1,26.707154,80.98234599999998,11.0,2
0,0,1,1,0,0,0,2,1005.025126,1,1,12.80009,77.71181999999997,48.0,2
0,1,0,1,0,0,1,4,4900.959771,1,1,18.5438,73.9438,240.0,4
0,1,0,1,0,0,1,2,1294.016156,1,1,19.128324,72.825408,330.0,2
0,1,0,1,0,0,1,3,1536.806516,1,1,28.6423,77.3445,100.0,3
0,0,1,1,0,0,0,2,1123.188406,1,1,12.9816,77.6729,62.0,2
0,1,0,1,0,0,0,2,800.1939864,1,1,26.955346,75.73479300000002,16.5,2
0,1,0,1,0,0,1,4,2655.807365,1,1,19.239813,72.962722,300.0,4
0,1,0,1,0,0,0,3,1513.775356,1,1,12.905368,77.580403,100.0,3
0,0,1,1,0,0,0,3,1280.0,1,1,9.930471,76.271273,48.0,3
0,0,1,1,0,0,0,1,410.0678733,1,1,28.568846,77.324966,14.5,1
0,1,0,1,0,0,0,4,3429.355281,1,1,22.312063,72.674296,100.0,4
0,1,0,1,0,0,0,2,890.0451868999999,1,1,28.582887,77.339935,65.0,2
0,0,1,1,0,0,0,2,977.7082519,1,1,22.1764,75.8193,25.0,2
0,1,0,1,0,0,0,2,1099.855282,1,1,12.977126,77.577724,38.0,2
0,0,1,1,0,1,0,2,1050.241272,0,1,26.29564,73.03943000000002,37.0,2
0,1,0,1,0,0,1,3,1400.241838,1,1,26.900926,75.775927,57.9,3
0,1,0,1,0,0,0,3,1740.139211,1,1,19.048979,73.078232,180.0,3
0,1,0,1,0,0,1,2,1149.131767,1,1,24.69028,78.41889,180.0,2
0,1,0,1,0,0,0,2,650.1950585,1,1,11.026678,76.903583,20.0,2
0,0,1,1,0,0,0,2,1355.01355,1,1,26.878068,75.77985600000002,85.0,2
0,1,0,1,0,0,0,3,1800.0720030000002,1,1,12.96991,77.59796,150.0,3
0,1,0,1,0,0,1,2,907.6305221,1,1,21.56128,74.21238000000002,33.9,2
0,1,0,1,0,0,0,3,1636.296021,1,1,13.141581,77.749756,88.0,3
0,0,1,1,0,0,0,2,900.2520706,1,1,22.261354,73.215533,25.0,2
0,0,1,1,0,0,0,2,1318.0440230000004,1,1,12.905538,77.694263,100.0,2
0,1,0,1,0,0,1,3,1949.586451,1,1,30.684523,76.691728,99.0,3
0,1,0,1,0,0,0,3,1643.36522,1,1,9.930471,76.271273,67.0,3
0,1,0,1,0,0,0,3,1233.045623,1,1,18.96,72.82,210.0,3
0,1,0,1,0,0,0,1,655.0802139,1,1,18.964489,73.019574,49.0,1
0,0,1,1,0,0,0,2,1180.173092,1,1,12.96991,77.59796,75.0,2
0,0,1,1,0,0,0,3,1200.087279,1,1,28.6711,77.3683,55.0,3
0,1,0,1,0,0,0,4,6974.645114,1,1,22.53028,88.33417,1700.0,4
0,0,1,1,0,1,1,4,2700.075602,0,1,28.535689,77.35967099999998,250.0,4
0,0,1,1,0,0,0,2,850.0991782,1,1,26.928785,75.828002,30.0,2
0,1,0,1,0,1,1,4,2636.296531,0,1,12.8855,77.5638,250.0,4
0,0,1,1,0,0,0,2,900.0163639,1,1,12.928575,77.58572099999998,55.0,2
0,1,0,1,0,1,0,4,2472.952087,0,1,18.475864,73.89000899999998,160.0,4
0,1,0,1,0,0,0,2,904.0656205,1,1,20.098413,79.10786,50.7,2
0,1,0,1,0,1,1,1,265.0033933,0,1,19.1145,72.8712,82.0,1
0,1,0,1,0,1,1,3,1570.306924,0,1,26.16667,75.78333,110.0,3
0,1,0,1,0,0,0,2,955.4140127,1,1,19.255098,72.9815265,150.0,2
0,1,0,1,0,0,0,2,1000.0,1,1,28.593566,77.362752,60.0,2
0,1,0,1,0,0,0,4,2494.747899,1,1,12.995285,77.766797,95.0,4
0,0,1,1,0,0,0,2,1150.130348,1,1,13.1101,80.2095,75.0,2
0,1,0,1,0,0,0,2,1210.136674,1,1,19.0168,73.09646,85.0,2
0,1,0,1,0,0,0,2,1365.001365,1,1,19.126499,72.99956,200.0,2
0,1,0,1,0,1,1,2,499.6366279,0,0,19.255098,72.9815265,110.0,2
0,1,0,1,0,0,0,2,1050.144395,1,1,22.271214,73.188827,40.0,2
0,0,1,1,0,0,0,1,476.02046889999986,1,1,13.020957,80.152774,40.0,1
0,1,0,1,0,0,0,2,985.452839,1,1,28.538774,77.366515,21.0,2
0,1,0,1,0,0,0,2,1045.296167,1,1,28.368269,77.37273,24.0,2
0,1,0,1,0,1,1,2,1301.89498,0,1,12.86,77.786,90.0,2
0,0,1,1,0,0,0,2,2000.0,1,1,28.2102,76.8606,38.0,2
0,1,0,1,0,1,1,4,4465.709729,0,1,28.526624,77.37671800000003,280.0,4
0,1,0,1,0,0,0,2,1192.0,1,1,20.286571,85.810906,59.6,2
0,1,0,1,0,1,0,3,1846.153846,0,0,22.5922,88.484911,120.0,3
0,1,0,1,0,1,0,1,448.5310608,0,1,19.221571,73.042474,120.0,1
0,0,1,1,0,0,0,2,750.0604887000002,1,1,28.66667,77.41667,31.0,2
0,1,0,1,0,0,0,2,1060.0706710000004,1,1,19.040066,73.115347,72.0,2
0,1,0,1,0,0,1,3,1415.09434,1,1,12.8458,77.6727,79.5,3
0,1,0,1,0,0,0,2,1160.062565,1,1,18.96,72.82,89.0,2
0,1,0,1,0,0,0,3,1690.024732,1,1,19.1615,72.8731,410.0,3
0,0,1,1,0,1,0,3,1672.762741,0,1,28.495803,77.42684799999998,68.6,3
0,0,1,1,0,0,0,2,1315.265046,1,1,20.606469,72.913465,33.0,2
0,1,0,1,0,0,0,1,650.026001,1,1,19.245347,73.124577,50.0,1
0,0,1,1,0,0,0,1,540.1755571,1,1,19.585537,72.83686800000002,16.0,1
0,1,0,1,0,0,0,3,1830.065359,1,1,20.098413,79.10786,98.0,3
0,1,0,1,0,0,0,3,1575.157516,1,1,28.66667,77.41667,70.0,3
0,1,0,1,0,0,0,3,1530.0,1,1,12.904179,77.665897,76.5,3
0,0,1,1,0,0,0,2,619.6377502,1,1,12.758604,77.700377,26.0,2
0,0,1,1,0,0,0,4,2200.0,1,1,21.17,72.83,110.0,4
0,1,0,1,0,0,0,3,1757.188498,1,1,40.67197199,-86.15292909,77.0,3
0,1,0,1,0,0,1,2,1087.885617,1,1,19.239813,72.962722,140.0,2
0,0,1,1,0,0,0,2,1199.862873,1,1,12.880993,77.557654,70.0,2
0,0,1,1,0,0,0,2,1265.035255,1,1,13.033421,77.603954,61.0,2
0,1,0,1,0,0,0,2,676.0453302,1,1,22.301625,88.242147,17.3,2
0,0,1,1,0,0,0,2,800.0,1,1,28.678014,77.38296,42.0,2
0,0,1,1,0,0,0,2,750.0750075,1,1,22.486821,88.233267,25.0,2
0,1,0,1,0,0,1,2,1500.0,1,0,13.086769,80.191135,150.0,2
0,1,0,1,0,0,0,3,1814.285714,1,1,20.257483,85.780142,88.9,3
0,1,0,1,0,0,1,3,1195.652174,1,1,24.69028,78.41889,110.0,3
0,1,0,1,0,0,0,3,1395.032324,1,1,26.900926,75.775927,41.0,3
0,0,1,1,0,0,0,2,850.1594049,1,1,19.696531,72.767746,24.0,2
0,1,0,1,0,0,0,2,909.4339623,1,1,12.957707,80.18367099999998,48.2,2
0,0,1,1,0,1,0,2,910.0937672,0,1,25.248438,83.014116,33.0,2
0,1,0,1,0,0,0,3,1850.070303,1,1,12.96991,77.59796,250.0,3
0,1,0,1,0,0,1,3,2069.857697,1,1,28.546788,77.37849399999998,160.0,3
0,1,0,1,0,0,1,2,820.0082001000002,1,1,19.18,72.96333,140.0,2
0,1,0,1,0,0,0,2,1241.8075199999996,1,1,23.182972,72.611485,36.0,2
0,1,0,1,0,0,1,3,1014.120668,1,0,18.5438,73.9438,79.0,3
0,1,0,1,0,0,0,4,2302.158273,1,1,30.697795000000006,76.714722,160.0,4
0,1,0,1,0,0,0,2,900.0782677000002,1,1,24.69028,78.41889,69.0,2
1,0,0,1,0,1,0,2,898.5074627,0,0,26.154874,91.670312,30.1,2
0,1,0,1,0,0,0,3,2235.294118,1,1,26.91667,75.86667,190.0,3
0,1,0,1,0,0,0,3,1350.0,1,1,28.5679,77.3679,81.0,3
0,1,0,1,0,0,1,2,1100.110011,1,1,18.485487,73.80377299999998,70.0,2
0,1,0,1,0,0,1,1,612.1199755,1,1,12.8356,80.1682,30.0,1
0,0,1,1,0,0,0,2,1100.352113,1,1,20.892133,77.741664,25.0,2
0,1,0,1,0,0,1,5,5194.805195,1,1,28.522931,77.357078,400.0,5
0,1,0,1,0,0,0,3,1475.2567689999996,1,1,28.506454,77.40956800000002,79.0,3
0,1,0,1,0,0,1,4,2780.191138,1,1,28.558047,77.392752,160.0,4
1,0,0,1,0,1,0,1,300.0260892,0,0,24.69028,78.41889,11.5,1
0,0,1,1,0,0,0,2,1000.0,1,1,17.7,83.25,50.0,2
0,1,0,1,0,0,0,2,1532.720245,1,1,19.1615,72.8731,230.0,2
0,1,0,1,0,1,1,2,995.8314034,0,0,22.311323,73.121275,21.5,2
0,1,0,1,0,0,0,3,1646.706587,1,0,28.406794,76.936447,110.0,3
0,1,0,1,0,0,0,4,2350.965575,1,1,30.664299,76.817624,56.0,4
0,0,1,1,0,0,0,3,534.061239,1,1,28.34532,77.299035,45.0,3
0,1,0,1,0,1,1,2,1100.0,0,1,19.218498,72.992114,110.0,2
0,1,0,1,0,0,0,3,1968.888889,1,1,26.16667,91.76667,88.6,3
0,1,0,1,0,0,1,3,2196.354052,1,1,28.536585,77.383669,100.0,3
0,1,0,1,0,0,1,4,2400.0,1,1,22.281215,70.789479,300.0,4
0,1,0,1,0,0,0,2,1650.252861,1,1,18.49667,73.94167,62.0,2
0,1,0,1,0,1,1,2,632.0572844999998,0,0,19.402549,72.85441800000002,45.9,2
0,0,1,1,0,0,0,2,1034.965035,1,1,26.882832,81.033767,37.0,2
0,1,0,1,0,0,0,2,965.0439631,1,1,18.96,72.82,90.0,2
1,0,0,1,0,1,1,2,600.5495224,0,0,24.69028,78.41889,45.9,2
0,1,0,1,0,0,0,2,984.8484848,1,1,19.255098,72.9815265,130.0,2
0,1,0,1,0,0,0,3,1700.060716,1,1,19.05871,72.89969,420.0,3
0,1,0,1,0,0,1,1,546.0145603999998,1,0,19.18,72.96333,58.5,1
0,1,0,1,0,0,0,2,1195.499297,1,1,22.55,72.9,17.0,2
0,1,0,1,0,1,1,3,1677.4685470000004,0,1,18.914541,72.818211,220.0,3
0,1,0,1,0,0,1,3,1699.716714,1,1,28.629811,77.434197,48.0,3
0,1,0,1,0,0,0,2,1075.027996,1,1,28.602325,77.40199399999999,48.0,2
0,1,0,1,0,1,1,1,485.790072,0,0,19.222101,72.988231,64.1,1
0,0,1,1,0,0,0,2,929.8998569,1,1,12.919423,77.522774,52.0,2
0,1,0,1,0,0,0,3,1438.021283,1,1,19.124896,72.89350300000002,600.0,3
0,1,0,1,0,0,0,5,5299.954894,1,1,12.91668,77.59196,470.0,5
0,1,0,1,0,0,1,2,1020.181859,1,1,13.055985,77.622157,46.0,2
0,0,1,1,0,0,0,2,1070.135002,1,1,28.6423,77.3445,65.0,2
0,0,1,1,0,0,0,2,2400.384061,1,1,13.603543,79.460402,50.0,2
0,0,1,1,0,0,0,3,1767.388826,1,1,17.546483,78.480303,77.5,3
1,0,0,1,0,1,1,1,524.0,0,0,18.6182,73.7447,26.2,1
0,1,0,1,0,1,1,2,923.7875289,0,1,28.359199,76.836683,120.0,2
0,1,0,1,0,0,0,3,1657.275439,1,1,12.9223,77.5532,100.0,3
0,1,0,1,0,0,0,2,680.0,1,1,19.1759,72.9522,170.0,2
0,0,1,1,0,0,0,2,1100.478469,1,1,22.3301,73.1611,23.0,2
0,1,0,1,0,0,1,3,1701.6949149999996,1,0,21.152442,81.090184,50.2,3
0,0,1,1,0,0,0,1,451.0309278,1,1,28.689982,77.339807,14.0,1
0,1,0,1,0,0,0,3,2727.856226000001,1,1,22.54111,88.33778000000002,85.0,3
0,0,1,1,0,0,0,2,1000.0,1,1,18.116670000000006,83.41667,30.0,2
0,1,0,1,0,0,0,3,1790.1897600000002,1,1,28.388225,76.946376,100.0,3
0,0,1,1,0,0,0,2,1100.352113,1,1,22.598675,88.438512,25.0,2
0,1,0,1,0,0,1,2,1232.162459,1,1,28.381971000000004,77.347688,44.9,2
0,1,0,1,0,0,0,1,497.988891,1,1,26.137220000000006,91.62778,26.0,1
0,0,1,1,0,0,0,3,1726.017442,1,1,12.995285,77.766797,95.0,3
0,1,0,1,0,1,1,3,1320.052802,0,1,18.5438,73.9438,110.0,3
0,0,1,1,0,0,0,2,990.0990099,1,1,21.250076,81.660749,25.0,2
0,1,0,1,0,0,0,1,675.0441375,1,1,24.69028,78.41889,65.0,1
0,0,1,1,0,0,0,2,674.0361283,1,1,10.5339,76.2085,25.0,2
0,1,0,1,0,0,0,1,775.1114886,1,1,28.543278000000004,77.358896,36.5,1
0,1,0,1,0,0,0,2,718.1042049,1,1,19.12,72.91,180.0,2
0,1,0,1,0,1,1,4,3200.0,0,1,28.429614,77.481711,180.0,4
0,0,1,1,0,0,1,2,945.1795841,1,1,24.586021,80.78740400000002,30.0,2
0,1,0,1,0,0,1,2,1089.028042,1,1,20.07911,73.911636,160.0,2
0,1,0,1,0,0,1,2,942.1518749,1,1,12.96991,77.59796,50.0,2
0,1,0,1,0,0,0,2,1370.0,1,1,19.980678,79.297436,82.2,2
0,0,1,1,0,0,0,2,1265.111049,1,1,9.90708,78.102316,90.0,2
0,1,0,1,0,0,0,3,1394.31121,1,1,24.69028,78.41889,100.0,3
0,1,0,1,0,1,0,2,800.0,0,1,12.80009,77.71181999999997,27.0,2
0,1,0,1,0,1,1,3,1505.144771,0,1,30.662283,76.822397,62.9,3
0,0,1,1,0,0,0,3,1067.270375,1,1,25.232239,71.392013,33.0,3
0,0,1,1,0,0,0,3,1400.059577,1,1,12.913771,77.768321,94.0,3
0,1,0,1,0,0,0,1,728.9473684,1,1,26.807408,75.83865899999998,27.7,1
0,1,0,1,0,0,1,3,1293.103448,1,0,26.900926,75.775927,37.5,3
1,0,0,1,0,1,1,3,106469.0027,0,0,24.69028,78.41889,9480.0,3
0,1,0,1,0,0,0,3,2939.624633,1,1,28.403138,77.070052,390.0,3
0,1,0,1,0,0,1,2,1431.068385,1,1,30.661104,76.746082,65.5,2
0,0,1,1,0,0,0,3,1350.063532,1,1,12.96991,77.59796,85.0,3
0,0,1,1,0,0,0,1,750.1630789,1,1,21.189685,72.841062,23.0,1
0,1,0,1,0,0,1,3,1170.074459,1,1,24.69028,78.41889,99.0,3
0,0,1,1,0,0,0,2,1121.076233,1,1,24.69028,78.41889,45.0,2
0,1,0,1,0,0,0,4,1904.761905,1,1,30.714837,76.751896,100.0,4
0,1,0,1,0,0,0,4,7054.132801999999,1,1,28.388225,76.946376,460.0,4
0,1,0,1,0,0,0,2,950.0285009,1,1,19.1758,72.8643,150.0,2
0,0,1,1,0,0,0,2,969.9321048,1,1,12.852041,77.616315,40.0,2
0,1,0,1,0,0,0,1,636.0078278,1,1,19.038205,73.06612,52.0,1
0,1,0,1,0,0,0,4,4578.507945,1,1,12.929162,77.629041,340.0,4
0,0,1,1,0,0,0,1,700.0259269,1,1,18.5823,73.983,27.0,1
0,1,0,1,0,0,0,3,1859.637775,1,1,19.218498,72.992114,230.0,3
0,0,1,1,0,0,0,3,1700.1866059999998,1,1,31.097061,77.15489699999998,82.0,3
0,1,0,1,0,0,0,3,1847.187238,1,0,28.397468,76.945489,110.0,3
0,1,0,1,0,0,1,1,509.5541401,1,0,18.966114,73.148278,40.0,1
0,1,0,1,0,0,0,3,1427.424391,1,1,22.56972,88.36972,160.0,3
0,0,1,1,0,0,0,2,715.0518413,1,1,26.532207,75.520538,20.0,2
0,0,1,1,0,0,0,3,1393.214227,1,1,19.062322,72.88075400000002,85.0,3
0,0,1,1,0,0,0,2,900.3215434,1,1,30.768683000000006,76.650876,22.4,2
0,1,0,1,0,0,0,2,1000.0,1,1,19.18,72.96333,120.0,2
0,0,1,1,0,0,0,2,800.0,1,1,26.209302,78.194369,35.0,2
0,1,0,1,0,1,0,1,445.0304928000001,0,1,20.084522,72.900306,54.0,1
0,0,1,1,0,0,0,2,1125.175809,1,1,12.96991,77.59796,56.0,2
0,1,0,1,0,0,0,2,1015.113918,1,1,19.283359,72.864964,90.0,2
0,0,1,1,0,0,1,2,1200.4175369999996,1,1,23.185756,77.498465,23.0,2
